"","station","Species","n_events"
"1","station1","Sunbear",1
"2","station2","Banded Palm Civet",1
"3","station2","Thick-spined Porcupine",1
"4","station3","Banded Palm Civet",3
"5","station3","Great Argus Pheasant",4
"6","station3","Leopard Cat",1
"7","station3","Mongoose sp",1
"8","station3","Yellow-throated Marten",1
