"","station","Species","n_events"
"1","station1","Sunbear",1
"2","station2","Banded Civet",1
"3","station2","Thick-spined Porcupine",1
"4","station3","Banded Civet",3
"5","station3","Great Argus Pheasant",4
"6","station3","Leopard Cat",2
"7","station3","Mongoose sp",1
